devices, latency, power, osnr,,,,,
2,98,-237,172,8027,8005,0,0.000663535,0
2,98,-125,276,8027,8026,0,0.000936173,0
2,98,-138,259,8027,8027,0,0.001227025,0
2,97,-249,160,8027,5330,1,0.001430413,2
2,97,-226,175,8027,8026,0,0.001465149,0
2,97,-232,177,8027,8026,0,0.002089577,0
2,97,-210,199,8027,8027,0,0.002797846,0
2,97,-253,158,8027,3619,1,0.003304601,1
2,96,-145,260,8027,8026,0,0.003672948,0
2,97,-239,169,8027,8005,0,0.003966941,0
2,96,-246,156,8027,7805,0,0.004778375,0
2,97,-244,169,8027,7847,0,0.005765406,0
2,96,-136,272,8027,8027,0,0.007274147,0
2,96,-245,171,8027,7332,0,0.007756832,0
2,98,-249,157,8027,6191,1,0.007829084,2
2,97,-251,157,8027,2712,1,0.008973036,1
2,97,-245,158,8027,7550,0,0.009458891,0
2,96,-156,258,8027,8026,0,0.009701296,0
2,97,-184,226,8027,8026,0,0.01165812,0
2,96,-211,192,8027,8026,0,0.012529441,0
2,97,-245,170,8027,7794,0,0.012883719,0
2,96,-136,264,8027,8026,0,0.014666291,0
2,97,-254,157,8027,1846,1,0.015323815,1
2,97,-169,234,8027,8026,0,0.016160891,0
2,96,-130,278,8027,8026,0,0.017206226,0
2,96,-201,210,8027,8026,0,0.018254566,0
2,97,-245,153,8027,7712,0,0.019004224,0
2,96,-124,269,8027,8027,0,0.019307224,0
2,96,-236,162,8027,8018,0,0.01932457,0
2,98,-245,153,8027,7696,0,0.01976009,0
2,97,-156,242,8027,8026,0,0.020676671,0
2,97,-236,169,8027,8016,0,0.020774437,0
2,97,-118,273,8027,8026,0,0.020817398,0
2,97,-138,259,8027,8026,0,0.021965981,0
2,96,-191,216,8027,8027,0,0.023752145,0
2,97,-246,166,8027,7531,0,0.023904322,0
2,97,-156,258,8027,8026,0,0.026151821,0
2,97,-204,214,8027,8026,0,0.026539126,0
2,96,-245,155,8027,7343,0,0.027933489,0
2,97,-138,273,8027,8026,0,0.029300727,0
2,98,-253,149,8027,795,1,0.030374889,1
2,97,-166,253,8027,8027,0,0.030887976,0
2,96,-162,238,8027,8027,0,0.03267099,0
2,97,-242,178,8027,7706,0,0.033911944,0
2,96,-251,158,8027,6702,1,0.034022271,2
2,97,-238,185,8027,7999,0,0.034169266,0
2,98,-166,253,8027,8027,0,0.034913525,0
2,97,-249,167,8027,3062,1,0.035008821,1
2,96,-249,163,8027,7157,1,0.035127299,2
2,97,-236,172,8027,8017,0,0.035461188,0
2,97,-253,161,8027,426,1,0.035727986,1
2,97,-217,200,8027,8026,0,0.037058374,0
2,97,-245,159,8027,7323,0,0.037612405,0
2,96,-236,172,8027,8016,0,0.037883993,0
2,97,-151,246,8027,8026,0,0.038463914,0
2,96,-184,226,8027,8026,0,0.038672164,0
2,96,-251,173,8027,1717,1,0.03953441,1
2,97,-191,215,8027,8026,0,0.040567315,0
2,97,-255,144,8027,1838,1,0.040857483,1
2,97,-196,214,8027,8026,0,0.04125192,0
2,97,-188,203,8027,8026,0,0.042543327,0
2,98,-201,210,8027,8026,0,0.042611698,0
2,96,-243,166,8027,7905,0,0.04275993,0
2,97,-246,156,8027,7774,0,0.044142945,0
2,96,-249,157,8027,6191,1,0.044175005,2
2,97,-248,158,8027,7119,1,0.0443517,2
2,98,-150,249,8027,8026,0,0.045095028,0
2,97,-127,269,8027,8027,0,0.045836072,0
2,97,-131,275,8027,8026,0,0.047683915,0
2,97,-136,269,8027,8026,0,0.048929884,0
2,96,-204,214,8027,8026,0,0.04920802,0
2,97,-121,281,8027,8026,0,0.049965297,0
2,97,-232,180,8027,8026,0,0.050001857,0
2,97,-131,262,8027,8027,0,0.050315551,0
2,98,-142,259,8027,8027,0,0.051647,0
2,96,-254,153,8027,1575,1,0.051764742,1
2,96,-183,219,8027,8026,0,0.052168445,0
2,96,-242,167,8027,7948,0,0.054626215,0
2,97,-125,274,8027,8027,0,0.054876644,0
2,96,-202,209,8027,8026,0,0.055356813,0
2,96,-241,167,8027,7913,0,0.055495804,0
2,96,-239,168,8027,7999,0,0.055565268,0
2,96,-131,266,8027,8026,0,0.057393708,0
2,97,-240,168,8027,7960,0,0.057424733,0
2,96,-227,178,8027,8026,0,0.05796701,0
2,97,-167,234,8027,8026,0,0.058281919,0
2,96,-255,154,8027,1706,1,0.0593398,1
2,97,-249,157,8027,6176,1,0.059590577,2
2,98,-191,215,8027,8026,0,0.061011171,0
2,97,-249,165,8027,1946,1,0.061083505,1
2,97,-191,216,8027,8027,0,0.061180169,0
2,96,-188,203,8027,8027,0,0.06157187,0
2,97,-162,250,8027,8026,0,0.062099602,0
2,97,-244,157,8027,7709,0,0.062584698,0
2,97,-253,149,8027,426,1,0.063293887,1
2,97,-124,269,8027,8026,0,0.064079956,0
2,96,-115,276,8027,8026,0,0.065013034,0
2,97,-145,260,8027,8027,0,0.065434813,0
2,96,-177,246,8027,8027,0,0.065555128,0
2,96,-243,169,8027,7774,0,0.066133026,0
2,96,-210,199,8027,8026,0,0.066715811,0
2,98,-221,179,8027,8027,0,0.06697753,0
2,96,-245,159,8027,7265,0,0.067418458,0
2,96,-161,237,8027,8026,0,0.068065395,0
2,97,-175,228,8027,8027,0,0.068637768,0
2,97,-217,187,8027,8026,0,0.069175148,0
2,97,-247,168,8027,7227,0,0.070596414,0
2,96,-254,159,8027,829,1,0.070633891,1
2,96,-156,242,8027,8026,0,0.071183755,0
2,97,-115,276,8027,8027,0,0.071708081,0
2,98,-176,231,8027,8026,0,0.072552995,0
2,98,-202,209,8027,8026,0,0.073877305,0
2,97,-243,158,8027,7789,0,0.074751127,0
2,97,-147,256,8027,8027,0,0.074926913,0
2,96,-250,165,8027,6819,1,0.075202677,2
2,96,-169,234,8027,8026,0,0.075666748,0
2,97,-167,238,8027,8027,0,0.077602978,0
2,98,-243,166,8027,7920,0,0.07789361,0
2,97,-254,159,8027,829,1,0.078414842,1
2,97,-182,218,8027,8026,0,0.079526865,0
2,97,-252,161,8027,602,1,0.079656533,1
2,97,-221,179,8027,8026,0,0.07990367,0
2,96,-182,218,8027,8027,0,0.081024739,0
2,97,-222,183,8027,8026,0,0.082088273,0
2,97,-117,274,8027,8027,0,0.082722649,0
2,98,-255,154,8027,1314,1,0.083618253,1
2,96,-125,276,8027,8027,0,0.083865837,0
2,97,-120,267,8027,8026,0,0.086694386,0
2,97,-116,282,8027,8027,0,0.088397968,0
2,97,-248,166,8027,6176,1,0.088550079,2
2,96,-146,250,8027,8026,0,0.088778782,0
2,97,-211,192,8027,8026,0,0.088930624,0
2,96,-245,158,8027,7706,0,0.092537367,0
2,96,-125,274,8027,8026,0,0.092865319,0
2,97,-130,278,8027,8026,0,0.093538342,0
2,96,-206,203,8027,8026,0,0.094323138,0
2,97,-136,272,8027,8026,0,0.095958198,0
2,97,-181,219,8027,8026,0,0.096056051,0
2,97,-175,233,8027,8027,0,0.096777435,0
2,97,-125,276,8027,8027,0,0.097950535,0
2,98,-182,218,8027,8026,0,0.099262529,0
2,96,-253,168,8027,5504,1,0.099514553,2
2,98,-204,214,8027,8026,0,0.100369523,0
2,96,-251,157,8027,3193,1,0.102762797,1
2,97,-245,166,8027,7848,0,0.103965927,0
2,97,-237,172,8027,8001,0,0.105404223,0
2,97,-235,168,8027,8016,0,0.106367643,0
2,97,-241,161,8027,7963,0,0.107234973,0
2,96,-181,219,8027,8026,0,0.108637594,0
2,97,-144,256,8027,8027,0,0.109313311,0
2,96,-116,282,8027,8026,0,0.109458113,0
2,97,-176,231,8027,8026,0,0.110497712,0
2,97,-120,286,8027,8027,0,0.110993777,0
2,97,-177,246,8027,8026,0,0.111704393,0
2,97,-200,210,8027,8026,0,0.112327586,0
2,98,-223,186,8027,8026,0,0.113411227,0
2,98,-241,179,8027,7835,0,0.115568359,0
2,97,-227,178,8027,8026,0,0.117464861,0
2,98,-136,264,8027,8026,0,0.117658008,0
2,97,-239,168,8027,8002,0,0.11839402,0
2,97,-243,169,8027,7841,0,0.119425613,0
2,98,-116,282,8027,8026,0,0.121422723,0
2,98,-232,180,8027,8026,0,0.121543055,0
2,97,-250,165,8027,6771,1,0.12299166,2
2,96,-127,269,8027,8026,0,0.123694331,0
2,98,-117,274,8027,8026,0,0.123761277,0
2,96,-241,179,8027,7919,0,0.124154165,0
2,97,-245,155,8027,7527,0,0.126678968,0
2,96,-144,256,8027,8026,0,0.126680174,0
2,97,-165,241,8027,8026,0,0.127218612,0
2,96,-142,259,8027,8027,0,0.129457925,0
2,96,-241,161,8027,7958,0,0.132731271,0
2,97,-243,160,8027,7821,0,0.133072015,0
2,98,-118,273,8027,8026,0,0.133836754,0
2,96,-247,148,8027,7569,0,0.135036605,0
2,96,-242,178,8027,7859,0,0.135185577,0
2,96,-226,175,8027,8026,0,0.13662387,0
2,98,-131,266,8027,8026,0,0.137474894,0
2,97,-183,219,8027,8027,0,0.138783943,0
2,97,-193,210,8027,8026,0,0.14236224,0
2,97,-252,153,8027,6285,1,0.143465896,2
2,96,-245,166,8027,7834,0,0.145080103,0
2,96,-217,187,8027,8027,0,0.146635649,0
2,98,-131,275,8027,8026,0,0.14805299,0
2,97,-241,167,8027,7920,0,0.151385282,0
2,96,-237,165,8027,8018,0,0.152398097,0
2,96,-138,259,8027,8026,0,0.153816562,0
2,97,-249,159,8027,5330,1,0.154711336,2
2,97,-254,153,8027,1626,1,0.156529024,1
2,96,-147,256,8027,8026,0,0.159098987,0
2,98,-236,169,8027,8026,0,0.162349346,0
2,97,-146,250,8027,8026,0,0.164368676,0
2,97,-256,149,8027,369,1,0.164663838,1
2,96,-176,231,8027,8027,0,0.165430952,0
2,97,-247,148,8027,7569,0,0.166617838,0
2,96,-248,171,8027,7320,0,0.167634901,0
2,96,-243,158,8027,7577,0,0.168077188,0
2,97,-149,249,8027,8027,0,0.168347249,0
2,97,-201,210,8027,8026,0,0.168563392,0
2,96,-200,210,8027,8026,0,0.168578917,0
2,97,-242,167,8027,7953,0,0.17041978,0
2,98,-156,242,8027,8026,0,0.170897636,0
2,96,-118,273,8027,8026,0,0.171098197,0
2,97,-161,237,8027,8027,0,0.1749996,0
2,97,-223,186,8027,8026,0,0.177995824,0
2,96,-239,169,8027,8016,0,0.178885573,0
2,96,-131,275,8027,8026,0,0.180390242,0
2,97,-131,266,8027,8026,0,0.180468216,0
2,97,-202,209,8027,8026,0,0.180680337,0
2,96,-243,160,8027,7814,0,0.182086906,0
2,98,-239,169,8027,8005,0,0.182817873,0
2,96,-162,250,8027,8026,0,0.182982735,0
2,97,-248,171,8027,7300,0,0.183803465,0
2,96,-191,215,8027,8026,0,0.187262814,0
2,96,-253,161,8027,1633,1,0.188785801,1
2,96,-252,161,8027,426,1,0.189731771,1
2,98,-145,260,8027,8027,0,0.190772288,0
2,96,-254,157,8027,1929,1,0.192768133,1
2,98,-167,234,8027,8026,0,0.192878334,0
2,96,-150,249,8027,8026,0,0.194036162,0
2,97,-253,168,8027,5504,1,0.197492208,2
2,96,-131,262,8027,8027,0,0.197556322,0
2,97,-162,238,8027,8026,0,0.199303071,0
2,96,-193,210,8027,8027,0,0.199635114,0
2,97,-242,164,8027,7834,0,0.200767339,0
2,98,-243,160,8027,7834,0,0.202914069,0
2,98,-120,286,8027,8027,0,0.203139343,0
2,96,-253,149,8027,180,1,0.203276396,1
2,97,-136,264,8027,8027,0,0.205955561,0
2,96,-237,172,8027,8005,0,0.20788561,0
2,98,-188,203,8027,8026,0,0.210549491,0
2,97,-214,181,8027,8026,0,0.21185798,0
2,98,-235,168,8027,8016,0,0.214946556,0
2,96,-117,274,8027,8026,0,0.214971044,0
2,98,-245,171,8027,7332,0,0.215753804,0
2,98,-210,199,8027,8027,0,0.217061018,0
2,98,-227,178,8027,8026,0,0.217343515,0
2,98,-251,173,8027,1769,1,0.218128639,1
2,96,-165,241,8027,8026,0,0.218943669,0
2,98,-162,250,8027,8026,0,0.219089925,0
2,98,-240,168,8027,7962,0,0.219278012,0
2,96,-236,169,8027,8026,0,0.219562748,0
2,96,-120,286,8027,8026,0,0.219746033,0
2,96,-196,214,8027,8027,0,0.221711097,0
2,96,-252,153,8027,6021,1,0.221725484,2
2,96,-151,246,8027,8026,0,0.223216719,0
2,98,-239,168,8027,8001,0,0.225190348,0
2,98,-254,159,8027,1769,1,0.228581616,1
2,97,-236,162,8027,8017,0,0.233669624,0
2,98,-146,250,8027,8027,0,0.238659597,0
2,96,-232,180,8027,8026,0,0.241829794,0
2,97,-243,166,8027,7923,0,0.243656564,0
2,96,-245,153,8027,7696,0,0.251560271,0
2,96,-244,169,8027,7863,0,0.253541703,0
2,97,-206,203,8027,8027,0,0.25503425,0
2,96,-167,234,8027,8026,0,0.255362492,0
2,97,-142,259,8027,8026,0,0.257580149,0
2,98,-242,178,8027,7853,0,0.257911742,0
2,97,-251,158,8027,6680,1,0.259088609,2
2,98,-131,262,8027,8027,0,0.262354743,0
2,98,-249,167,8027,2427,1,0.266209705,1
2,96,-121,281,8027,8026,0,0.26735286,0
2,98,-254,157,8027,2953,1,0.268582546,1
2,97,-251,173,8027,1523,1,0.26915369,1
2,98,-251,158,8027,6678,1,0.27073979,2
2,97,-245,171,8027,7343,0,0.272225311,0
2,253,-244,169,8027,7853,0,0.272338005,0
2,96,-175,233,8027,8026,0,0.276813966,0
2,96,-236,168,8027,8017,0,0.283117794,0
2,98,-175,233,8027,8026,0,0.290102711,0
2,98,-138,273,8027,8027,0,0.29732502,0
2,98,-245,158,8027,7552,0,0.297736252,0
2,97,-255,154,8027,1314,1,0.304453871,1
2,96,-166,253,8027,8026,0,0.306407367,0
2,97,-241,179,8027,7919,0,0.310570706,0
2,96,-248,166,8027,6709,1,0.312859818,2
2,97,-237,165,8027,8016,0,0.314295479,0
2,97,-118,282,8027,8026,0,0.315472968,0
2,98,-232,177,8027,8026,0,0.322764555,0
2,96,-255,144,8027,963,1,0.32751918,1
2,98,-248,166,8027,6702,1,0.341667756,2
2,98,-161,237,8027,8027,0,0.344030989,0
2,98,-193,210,8027,8026,0,0.347052787,0
2,96,-253,158,8027,3619,1,0.347121503,1
2,98,-222,183,8027,8026,0,0.351568672,0
2,98,-156,258,8027,8026,0,0.352242146,0
2,97,-257,149,8027,311,1,0.354540922,1
2,96,-222,183,8027,8027,0,0.361038531,0
2,98,-252,161,8027,1838,1,0.365863003,1
2,97,-117,238,8027,8026,0,0.368806913,0
2,96,-248,158,8027,7168,1,0.373165503,2
2,98,-226,175,8027,8026,0,0.379307235,0
2,97,-257,150,8027,317,1,0.383310232,1
2,97,-249,163,8027,7176,1,0.387319701,2
2,98,-241,167,8027,7920,0,0.387647236,0
2,98,-245,166,8027,7848,0,0.39532342,0
2,98,-184,226,8027,8027,0,0.405409997,0
2,96,-235,168,8027,8017,0,0.426945432,0
2,98,-252,153,8027,6102,1,0.427613155,2
2,98,-252,149,8027,311,1,0.434777427,1
2,98,-136,272,8027,8027,0,0.435631271,0
2,98,-245,170,8027,7794,0,0.436173321,0
2,98,-162,238,8027,8026,0,0.440796849,0
2,97,-252,149,8027,311,1,0.440951598,1
2,96,-244,157,8027,7678,0,0.441460359,0
2,98,-248,171,8027,7316,0,0.445681294,0
2,96,-252,149,8027,311,1,0.445717335,1
2,98,-242,167,8027,7948,0,0.448087275,0
2,96,-138,273,8027,8026,0,0.453385457,0
2,96,-242,164,8027,7838,0,0.468856788,0
2,97,-150,249,8027,8026,0,0.469876711,0
2,98,-167,238,8027,8027,0,0.470182971,0
2,98,-236,162,8027,8018,0,0.47356942,0
2,98,-196,214,8027,8027,0,0.47474729,0
2,98,-149,249,8027,8027,0,0.476718781,0
2,98,-151,246,8027,8026,0,0.480000253,0
2,97,-258,150,8027,317,1,0.480509132,1
2,96,-249,159,8027,5227,1,0.487689954,2
2,98,-144,256,8027,8027,0,0.490313438,0
2,98,-127,269,8027,8027,0,0.507049026,0
2,98,-217,187,8027,8026,0,0.513800956,0
2,96,-136,269,8027,8026,0,0.520757944,0
2,96,-175,228,8027,8026,0,0.522046419,0
2,98,-243,169,8027,7836,0,0.528180409,0
2,96,-249,167,8027,3062,1,0.532308292,1
2,98,-200,210,8027,8026,0,0.533850664,0
2,96,-149,249,8027,8027,0,0.53830421,0
2,96,-217,200,8027,8026,0,0.546586355,0
2,98,-237,165,8027,8018,0,0.551281452,0
2,96,-120,267,8027,8026,0,0.551613659,0
2,96,-214,181,8027,8026,0,0.554735964,0
2,98,-214,181,8027,8026,0,0.560178996,0
2,98,-254,153,8027,1575,1,0.566755458,1
2,98,-125,274,8027,8026,0,0.566818276,0
2,96,-238,185,8027,7999,0,0.572139067,0
2,98,-243,158,8027,7810,0,0.578814012,0
2,97,-132,110,8027,3527,2,,1
2,97,-128,110,8027,4543,2,,2
2,98,-128,122,8027,4543,2,,2
2,98,-130,119,8027,4638,2,,2
2,99,-133,116,8027,4382,2,,2
2,97,-129,120,8027,5145,2,,2
2,98,-128,123,8027,5157,2,,2
2,98,-132,119,8027,5104,2,,2
2,98,-131,121,8027,5818,2,,2
2,97,-130,123,8027,5835,2,,2
2,98,-132,120,8027,5761,2,,2
2,98,-133,120,8027,5739,2,,2
2,98,-128,124,8027,6366,2,,2
2,98,-131,123,8027,6445,2,,2
2,98,-132,123,8027,6460,2,,2
2,97,-132,125,8027,6807,2,,2
2,99,-133,125,8027,6838,2,,2
2,99,-133,123,8027,6838,2,,2
2,98,-130,126,8027,7005,2,,2
2,97,-132,126,8027,6991,2,,2
2,98,-131,126,8027,6960,2,,2
2,98,-130,129,8027,7214,0,,0
2,98,-131,127,8027,7222,0,,0
2,97,-133,126,8027,7131,2,,0
2,98,-130,128,8027,7200,0,,0
2,97,-129,131,8027,7407,0,,0
2,97,-131,129,8027,7397,0,,0
2,99,-132,128,8027,7406,0,,0
2,99,-129,133,8027,7453,0,,0
2,98,-130,133,8027,7657,0,,0
2,98,-132,130,8027,7658,0,,0
2,98,-130,130,8027,7647,0,,0
2,97,-132,131,8027,7651,0,,0
2,98,-129,135,8027,7778,0,,0
2,98,-131,133,8027,7778,0,,0
2,97,-133,133,8027,7783,0,,0
2,98,-133,131,8027,7785,0,,0
2,97,-132,132,8027,7774,0,,0
2,97,-127,139,8027,7744,0,,0
2,98,-131,134,8027,7836,0,,0
2,98,-132,133,8027,7829,0,,0
2,98,-132,136,8027,7909,0,,0
2,97,-131,138,8027,7904,0,,0
2,98,-130,137,8027,7888,0,,0
2,97,-133,135,8027,7887,0,,0
2,98,-133,257,8027,7913,0,,0
2,98,-133,265,8027,8027,0,,0
2,98,-133,258,8027,8026,0,,0
2,98,-132,266,8027,8027,0,,0
2,97,-134,269,8027,8027,0,,0
2,97,-134,270,8027,8027,0,,0
2,98,-135,108,8027,1241,2,,2
2,97,-140,110,8027,1241,2,,2
2,97,-137,110,8027,4667,2,,2
2,97,-137,123,8027,4667,2,,2
2,98,-142,118,8027,4595,2,,2
2,97,-139,122,8027,4561,2,,2
2,98,-141,121,8027,5280,2,,2
2,97,-139,123,8027,5381,2,,2
2,98,-137,125,8027,5412,2,,2
2,97,-143,120,8027,5456,2,,2
2,98,-140,123,8027,5950,2,,2
2,97,-138,126,8027,5993,2,,2
2,98,-142,122,8027,5989,2,,2
2,98,-139,127,8027,6584,2,,2
2,98,-143,123,8027,6657,2,,2
2,98,-140,125,8027,6434,2,,2
2,98,-138,129,8027,6510,2,,2
2,97,-141,127,8027,7040,2,,2
2,98,-140,128,8027,6977,2,,2
2,98,-141,128,8027,6979,2,,2
2,98,-140,129,8027,6960,2,,2
2,98,-141,129,8027,6938,2,,2
2,98,-139,131,8027,7245,0,,0
2,98,-140,130,8027,7228,0,,0
2,98,-138,132,8027,7240,0,,0
2,98,-140,132,8027,7341,0,,0
2,98,-141,130,8027,7409,0,,0
2,98,-142,130,8027,7426,0,,0
2,97,-139,133,8027,7375,0,,0
2,98,-138,134,8027,7377,0,,0
2,98,-141,131,8027,7399,0,,0
2,99,-139,134,8027,7599,0,,0
2,97,-140,133,8027,7594,0,,0
2,97,-142,132,8027,7627,0,,0
2,97,-140,134,8027,7572,0,,0
2,97,-140,135,8027,7629,0,,0
2,97,-142,134,8027,7747,0,,0
2,97,-139,136,8027,7764,0,,0
2,99,-143,132,8027,7729,0,,0
2,97,-144,134,8027,7802,0,,0
2,97,-141,137,8027,7821,0,,0
2,98,-140,137,8027,7812,0,,0
2,97,-141,136,8027,7775,0,,0
2,98,-142,136,8027,7844,0,,0
2,97,-140,140,8027,7908,0,,0
2,98,-140,139,8027,7872,0,,0
2,97,-143,137,8027,7901,0,,0
2,98,-138,142,8027,7903,0,,0
2,98,-139,261,8027,8027,0,,0
2,99,-142,256,8027,8027,0,,0
2,97,-137,254,8027,8027,0,,0
2,98,-148,128,8027,1687,2,,1
2,99,-150,127,8027,4979,2,,2
2,98,-146,130,8027,4948,2,,2
2,98,-151,125,8027,5055,2,,2
2,98,-149,127,8027,4876,2,,2
2,98,-148,131,8027,5714,2,,2
2,98,-147,132,8027,5712,2,,2
2,97,-151,132,8027,5829,2,,2
2,98,-151,128,8027,5829,2,,2
2,97,-149,129,8027,5864,2,,2
2,98,-148,132,8027,5817,2,,2
2,98,-147,134,8027,6437,2,,2
2,98,-147,133,8027,6433,2,,2
2,98,-152,129,8027,6281,2,,2
2,98,-149,133,8027,6691,2,,2
2,98,-151,131,8027,6637,2,,2
2,97,-151,134,8027,6655,2,,2
2,98,-150,134,8027,7066,2,,2
2,98,-151,135,8027,7157,0,,0
2,98,-150,136,8027,7218,0,,0
2,99,-150,137,8027,7241,0,,0
2,98,-147,139,8027,7286,0,,0
2,97,-151,139,8027,7294,0,,0
2,97,-149,138,8027,7302,0,,0
2,98,-149,139,8027,7324,0,,0
2,98,-146,141,8027,7479,0,,0
2,98,-151,137,8027,7458,0,,0
2,99,-148,142,8027,7484,0,,0
2,99,-149,140,8027,7684,0,,0
2,97,-151,138,8027,7675,0,,0
2,98,-150,138,8027,7676,0,,0
2,97,-150,142,8027,7670,0,,0
2,97,-152,140,8027,7788,0,,0
2,98,-149,142,8027,7777,0,,0
2,99,-151,140,8027,7763,0,,0
2,98,-150,143,8027,7795,0,,0
2,97,-149,144,8027,7861,0,,0
2,98,-150,144,8027,7867,0,,0
2,98,-147,148,8027,7871,0,,0
2,98,-149,147,8027,7915,0,,0
2,98,-150,145,8027,7908,0,,0
2,98,-148,146,8027,7905,0,,0
2,98,-150,253,8027,8012,0,,0
2,99,-149,255,8027,8027,0,,0
2,98,-151,248,8027,8026,0,,0
2,98,-151,257,8027,8027,0,,0
2,98,-150,246,8027,8027,0,,0
2,97,-150,256,8027,8026,0,,0
2,98,-151,253,8027,8026,0,,0
2,97,-149,254,8027,8026,0,,0
2,98,-150,259,8027,8026,0,,0
2,99,-156,131,8027,5368,2,,2
2,98,-159,128,8027,5264,2,,2
2,98,-160,128,8027,5243,2,,2
2,97,-157,131,8027,5194,2,,2
2,98,-157,132,8027,5853,2,,2
2,98,-159,130,8027,6015,2,,2
2,97,-157,134,8027,5907,2,,2
2,97,-159,131,8027,5930,2,,2
2,98,-159,133,8027,5928,2,,2
2,99,-158,133,8027,6359,2,,2
2,98,-161,132,8027,6375,2,,2
2,99,-161,130,8027,6331,2,,2
2,98,-159,134,8027,6800,2,,2
2,98,-156,134,8027,6811,2,,2
2,99,-159,135,8027,6818,2,,2
2,97,-156,135,8027,6866,2,,2
2,97,-158,136,8027,7021,2,,2
2,98,-159,136,8027,7084,2,,2
2,97,-160,135,8027,7037,2,,2
2,98,-160,136,8027,7063,2,,2
2,98,-159,138,8027,7202,0,,0
2,98,-159,137,8027,7180,0,,0
2,98,-160,137,8027,7247,0,,0
2,98,-161,137,8027,7297,0,,0
2,99,-158,140,8027,7377,0,,0
2,97,-159,140,8027,7396,0,,0
2,98,-158,141,8027,7355,0,,0
2,97,-162,139,8027,7546,0,,0
2,98,-160,139,8027,7531,0,,0
2,98,-160,141,8027,7545,0,,0
2,98,-161,139,8027,7539,0,,0
2,97,-161,138,8027,7527,0,,0
2,98,-163,138,8027,7650,0,,0
2,98,-158,138,8027,7680,0,,0
2,98,-158,145,8027,7680,0,,0
2,97,-161,142,8027,7696,0,,0
2,98,-161,140,8027,7683,0,,0
2,99,-156,147,8027,7672,0,,0
2,97,-163,140,8027,7753,0,,0
2,98,-157,146,8027,7761,0,,0
2,99,-159,146,8027,7760,0,,0
